"fiscal_year","agency_name","title_description","work_location_borough","pay_basis","regular_hours","regular_gross_paid","ot_hours","total_ot_paid","total_other_pay"
"2024","MUNICIPAL WATER FIN AUTHORITY","STATISTICAL SECRETARY","MANHATTAN","per Annum","1820.00","60971.66","1","32.90","0.00"
"2024","MUNICIPAL WATER FIN AUTHORITY","BUDGET ANALYST","MANHATTAN","per Annum","1820.00","87862.42","0","0.00","3000.00"
"2024","MUNICIPAL WATER FIN AUTHORITY","BUDGET ANALYST","MANHATTAN","per Annum","1820.00","114705.76","0","0.00","3000.00"
"2024","MUNICIPAL WATER FIN AUTHORITY","BUDGET ANALYST","MANHATTAN","per Annum","1820.00","133972.59","0","0.00","3000.00"
"2024","MUNICIPAL WATER FIN AUTHORITY","BUDGET ANALYST","MANHATTAN","per Annum","1820.00","163855.20","0","0.00","3000.00"
"2024","MUNICIPAL WATER FIN AUTHORITY","DEPUTY GENERAL COUNSEL","MANHATTAN","per Annum","1820.00","202193.01","0","0.00","3000.00"
"2024","MUNICIPAL WATER FIN AUTHORITY","BUDGET ANALYST","MANHATTAN","per Annum","1400.00","62278.96","0","0.00","3016.50"
"2024","MUNICIPAL WATER FIN AUTHORITY","BUDGET ANALYST","MANHATTAN","per Annum","1820.00","196832.37","0","0.00","3181.28"
"2024","MUNICIPAL WATER FIN AUTHORITY","BUDGET ANALYST","MANHATTAN","per Annum","1813.00","194555.36","0","0.00","3500.00"
"2024","MUNICIPAL WATER FIN AUTHORITY","BUDGET ANALYST","MANHATTAN","per Annum","1820.00","176554.21","0","0.00","3818.88"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","35.43","26686.89","0","390.43","-19268.26"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","2112.00","53179.93","365.75","15086.39","2590.24"
"2024","NYC HOUSING AUTHORITY","SECRETARY","QUEENS","per Annum","1820.00","50345.93","0","13.80","2596.47"
"2024","NYC HOUSING AUTHORITY","COLLEGE AIDE","MANHATTAN","Prorated Annual","477","7576.68","0","0.00","3000.00"
"2024","NYC HOUSING AUTHORITY","PAINTER","BROOKLYN","per Day","1015.00","49573.44","369","27208.86","4696.71"
"2024","NYC HOUSING AUTHORITY","CITY LABORER","MANHATTAN","per Day","2080.00","36118.75","259","7476.00","4823.42"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","38.1","72436.35","0","0.00","-44551.02"
"2024","NYC HOUSING AUTHORITY","PLASTERER","MANHATTAN","per Day","66.1","63257.89","0","2924.96","-43385.60"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR ELEVATOR MECHANIC","MANHATTAN","per Day","1280.00","142480.00","158","17056.51","-42098.49"
"2024","NYC HOUSING AUTHORITY","PAINTER","BROOKLYN","per Day","1778.00","98161.64","547.25","46336.25","-37867.03"
"2024","NYC HOUSING AUTHORITY","HOUSING MANAGER","QUEENS","per Annum","116","50136.99","0","0.00","-35668.32"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","8","63705.73","0","0.00","-34791.32"
"2024","NYC HOUSING AUTHORITY","SUPERVISING HOUSING GROUNDSKEEPER","QUEENS","per Annum","16","56409.25","0","58.17","-33112.06"
"2024","NYC HOUSING AUTHORITY","ROOFER","BRONX","per Day","42","51536.34","0","530.13","-32495.80"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","100.57","35076.37","0","608.97","-32431.78"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","302.85","41878.28","23","1874.89","-32218.89"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BRONX","per Annum","134.75","33829.24","0","44.72","-30627.84"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING STOCK WORKERS","MANHATTAN","per Annum","43","41613.77","0","0.00","-28531.31"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","1670.07","86562.24","21.5","942.60","-28091.45"
"2024","NYC HOUSING AUTHORITY","SUPERVISING HOUSING GROUNDSKEEPER","MANHATTAN","per Annum","101","32975.72","0","228.72","-27200.29"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","MANHATTAN","per Day","48","32652.68","0","0.00","-26430.10"
